Catalogue No.,Lot Number,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Expert,Commissaire Pr.,Auction House,Sale Location,Lugt Number,Copyright,Year of Sale,# of instances in year,latitude/longitude,,latitude,longitude
B-A293,142,"MOLENAER, JAN MIENSE (Dutch)",,,,,Une Conversation de païsans,,Painting,"on panel, h. 10 pouces, l. 13 pouces",,,"Sold, 1.18 for lots 141 & 142","Bauwens, Bernard; from catalog: Bauwens","This lot was sold with lot 141 by Pitser, P.",,,,,,1788 May 31,,,Anonymous,"Ghent, Belgium",4324,,1788,2,"51.0538286, 3.7250121",,51.0538286, 3.7250121
B-A294,164,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Au milieu est un homme assi, qui fume une pipe de tabac, derriere lui est un homme endormi, & plus haut est un troisieme:  ce Tableau, qui est peint dans la maniere de Brouwer, est bien rendu",,Painting,"on panel, h. 9 1/2 pouces, l. 7 1/2 pouces",,from catalog: Dominique Bernard Clemens,Unknown,,,,,,,,1788 Jun 02 and following days (This Lot: Jun  2),,,Anonymous,"Ghent, Belgium",4325,,1788,3,"51.0538286, 3.7250121",,51.0538286, 3.7250121
Br-A1604,36,"MOLENAER, JAN MIENSE (Dutch)",,,,,A country wedding,8 [CL II],Painting,,,"Bertels, Jean J.; from catalog: Bertels (CL I)","Sold, 10.10 pounds (CL I)",from catalog: Douglass (CL I),,,,,,,1788 Jan 25 - 1788 Jan 26 (This Lot: Jan 26),,,Christie's,"London, England",4248 and 4127,,1788,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1636,54,"MOLENAER, JAN MIENSE (Dutch)",,,,,"A Dutch merry-making, in fine preservation, equal to Ostade",,Painting,,,"Naniant, Jean-François or a Gentleman from Norfolk; from catalog: Mr. Naniant [or a Gentleman from Norfolk]","Unknown, 24.3 pounds (BIB)",,,,,,,,1788 Apr 18 - 1788 Apr 19 (This Lot: Apr 19),,,Ansell,"London, England",4302a,,1788,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1617,74,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch merry making,,Painting,,,"Stuart; Stuart, Alexander; from catalog: Stuart (CL)","Sold, 1.2 pounds (CL)","Callander, Adam; from catalog: Callender (CL)",,,,,,,1788 Feb 25 - 1788 Feb 26 (This Lot: Feb 25),,,Christie's,"London, England",4266,,1788,6,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1647,49,"MOLENAER, JAN MIENSE (Dutch)",,,,,The Game of Hot Cockles,,Painting,2 F. 5 I. x 1 F. 11 I.,,,Unknown,,,,,,,,1788 May 26 and following days (This Lot: May 26),,,Ansell,"London, England",,,1788,7,"51.5073219, -0.1276474",,51.5073219, -0.1276474
F-A926,181,"MOLENAER, JAN MIENSE (Dutch)",,,,,L'Intérieur d'un gros Bourg où arrivent des voyageurs & des voitures publiques qui sont à la porte d'une hôtellerie & font rafraîchir leurs chevaux. Cette riche composition offre de beaux détails rendus avec franchise & beaucoup de vérité.,,Peinture,"sur toile, hauteur 33 pouces, largeur 40",,"Langlier, Jacques, Mme.; from catalog: Madame Lenglier","Vendu, 299 livres","Desmarest, J.; from catalog: Desmarais",,,,,,,1788 Mar 10 and following days (This Lot: Mar 10),"Lebrun, Jean Baptiste Pierre<br>Lebrun, Joseph Alexandre","Girardin, Jean Baptiste Sébastien",,"Paris, France",4280,,1788,8,"48.8566101, 2.3514992",,48.8566101, 2.3514992
D-A179,34,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Eine lustige Bauerngesellschaft beyderley Geschlechts, auf der Diele eines Bauernhauses auf Bänken um einen Tisch sitzend, einige singen; sehr naiv und so schön als von Ostade.",,Gemälde,"Hoch 21 Zoll, breit 17 Zoll",,,Unbekannt,,,,,,,,1788 Jun 12,,,Reimarus (Johann David); Texier (Peter); Meden,"Hamburg, Germany",4329,,1788,9,"53.550341, 10.000654",,53.550341, 10.000654
D-A183,132,"MOLENAER, JAN MIENSE (Dutch)",,,,,Das Innwendige eines Haußes wo verschiedene Personen sich erlustigen.,,Gemälde,"30 Zoll hoch, 40 Zoll breit",,,"Verkauft, 6 fl","Hess, Johann Georg [?]; from catalog: Hess [?]",,,,,,,1788 Oct 01 and following days (This Lot: Oct  1),,,Anonymous,"Frankfurt, Germany",,,1788,10,"50.1106444, 8.6820917",,50.1106444, 8.6820917
D-A182,84,"MOLENAER, JAN MIENSE (Dutch)",,,,,1 Baurenstuck. [1 p[iéce]. Villageoise.],,Gemälde,"auf Holz, Höhe 10 Zoll, Breite 8 Zoll",,"Farina, Johann Anton; from catalog: Johann Anton Farina",Unbekannt,,,,,,,,1788 Sep 01,,,Anonymous,"Cologne, Germany",4345,,1788,11,"50.938361, 6.959974",,50.938361, 6.959974
B-A304,23,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Binnen-huys, waer in eenen Man die met een Kind speeld, terwyl de Vrouw bezig is met doeken te warmen",,Painting,"on panel, H. 11 1/2 duym, b. 9 1/2 duym",,from catalog: Naergelaeten door Mynheer Jacobus Jos. Bucquoy,Unknown,,,,,,,,1789 May 14 - 1789 May 15 (This Lot: May 14),,,Deligne & Bauwens,"Brugge, Belgium",4447,,1789,1,"51.2085526, 3.226772",,51.2085526, 3.226772
B-A304,72,"MOLENAER, JAN MIENSE (Dutch)",,,,,Eenen Tabak-rooker,,Painting,"on panel, H. 6 duym, b. 5 duym",,from catalog: Naergelaeten door Mynheer Jacobus Jos. Bucquoy,Unknown,,,,,,,,1789 May 14 - 1789 May 15 (This Lot: May 14),,,Deligne & Bauwens,"Brugge, Belgium",4447,,1789,2,"51.2085526, 3.226772",,51.2085526, 3.226772
B-A304,90,"MOLENAER, JAN MIENSE (Dutch)",,,,,Eene Conversatie van Boeren,,Painting,"on panel, H. 10 duym, b. 15 duym",,from catalog: Naergelaeten door Mynheer Jacobus Jos. Bucquoy,Unknown,,,,,,,,1789 May 14 - 1789 May 15 (This Lot: May 14),,,Deligne & Bauwens,"Brugge, Belgium",4447,,1789,3,"51.2085526, 3.226772",,51.2085526, 3.226772
B-A304,0140e,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een schoon Stuk, door J. M. Molenaer, verbeeldende eene Keuken, waer in de verscheyde Persoonen die hun vergeesten, en eenige andere accessoiren, maekende niet als eene Group",,Painting,"on canvas, H. 24 duym, b. 30 duym",,from catalog: Naergelaeten door Mynheer Jacobus Jos. Bucquoy,Unknown,,,,,,,,1789 May 14 - 1789 May 15 (This Lot: May 14),,,Deligne & Bauwens,"Brugge, Belgium",4447,,1789,4,"51.2085526, 3.226772",,51.2085526, 3.226772
Br-A1698,74,"MOLENAER, JAN MIENSE (Dutch)",,,,,A musical conversation,,Painting,,,"Dudley and Ward, John Ward, 2nd Viscount; from catalog: Ld. Visct. Dudley & Ward (CL)","Sold, 4.6 pounds (CL)",from catalog: Dehany (CL),,,,,,,1789 Jul 20 - 1789 Jul 25 (This Lot: Jul 22),,,Christie's,"London, England",4467,,1789,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
F-A967,49,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un des plus fins Tableaux de ce Maître, d'une riche composition, représentant un festin de nôces. Ce Tableau, dont les différens personnages offrent des caractères remplis d'esprit & de gaîté, offre des détails rendus avec beaucoup de vérité.",,Peinture,"sur bois, Haut. 15 pouces, largeur 22 pouces",,Calonne Angelot; from catalog: Calonne Angelot,"Vendu, 501 livres","Langlier, Jacques; from catalog: Langlier",,,,,,,1789 May 11 and following days (This Lot: May 11),"Lebrun, Alexandre Joseph","Brusley, Louis Gratien",,"Paris, France",4445,,1789,6,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-A957,78,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Deux petits tableaux sujets Flamands, par Molnaert.",,Peinture,"sur bois, Hauteur 6 pouces, largeur 5 pouces.",,"Loliée, Barthélèmy-Henri; from catalog: Lollier","Inconnue, 12 livres",,,,,,,,1789 Apr 06 and following days (This Lot: Apr  6),"Paillet, Alexandre Joseph","Hayot de Longpré, Philippe",,"Paris, France",4423,,1789,7,"48.8566101, 2.3514992",,48.8566101, 2.3514992
D-A190,13,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Eine extra fein gemahlte Wintergegend, auf Holz.",,Gemälde,"auf Holz, Hoch 6 Zoll, breit 7 1/2 Zoll",,,"Verkauft, 7 M",Schmeichel; from catalog: Schmeichel,Der Künstler ist vermutlich Klaes Molenaer und nicht Jan Miense Molenaer.,,,,,,1789 Jun 06,,,Packischefsky (Peter Hinrich),"Hamburg, Germany",4456,,1789,8,"53.550341, 10.000654",,53.550341, 10.000654
Br-A1717,10,"MOLENAER, JAN MIENSE (Dutch)",,,,,Boors regaling,,Painting,,,Jackson; from catalog: Jackson (CL),Unknown,,,,,,,,1790 Jan 23,,,Christie's,"London, England",4514,,1790,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1727,75,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch merrymaking,,Painting,,,"Charlton, Rice, Dr. or Charlton, Rice, Dr.; Charleville, Hester Coghill Moore, Countess of or Charleville, Hester Coghill Moore, Countess of; from catalog: Doctor Charlton or Countess of Charleville",Unknown,,,,,,,,1790 Mar 05 - 1790 Mar  6 (This Lot: Mar  5),,,Christie's,"London, England",4541,,1790,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1727,31,"MOLENAER, JAN MIENSE (Dutch)",,,,,"A village feast, peasants regaling",,Painting,,,"Charlton, Rice, Dr. or Charlton, Rice, Dr.; Charleville, Hester Coghill Moore, Countess of or Charleville, Hester Coghill Moore, Countess of; from catalog: Doctor Charlton or Countess of Charleville",Unknown,,,,,,,,1790 Mar 05 - 1790 Mar  6 (This Lot: Mar  6),,,Christie's,"London, England",4541,,1790,3,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1730,15,"MOLENAER, JAN MIENSE (Dutch)",,,,,A pair of dancing and drinking subjects,,Painting,,,,Unknown,,,,,,,,1790 Mar 12 - 1790 Mar 13 (This Lot: Mar 12),,,Greenwood,"London, England",4545,,1790,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,3,"MOLENAER, JAN MIENSE (Dutch)",,,,,A conversation,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,11,"MOLENAER, JAN MIENSE (Dutch)",,,,,A conversation,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,6,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,18,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch courtship,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,7,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,0023[a],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Ditto [Conversation], and a portrait (THIS LOT:  Conversation)",,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,8,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,29,"MOLENAER, JAN MIENSE (Dutch)",,,,,A conversation,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,9,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,93,"MOLENAER, JAN MIENSE (Dutch)",,,,,A battle of boors,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,10,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,54,"MOLENAER, JAN MIENSE (Dutch)",,,,,A merry making,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 19),,,Greenwood,"London, England",4551,,1790,11,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,32,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch conversation,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 20),,,Greenwood,"London, England",4551,,1790,12,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1731,84,"MOLENAER, JAN MIENSE (Dutch)",,,,,A capital merry making,,Painting,,,,Unknown,,,,,,,,1790 Mar 19 - 1790 Mar 20 (This Lot: Mar 20),,,Greenwood,"London, England",4551,,1790,13,"51.5073219, -0.1276474",,51.5073219, -0.1276474
F-A974,496,"MOLENAER, JAN MIENSE (Dutch)",,,,,"L'intérieur d'une chambre de Paysan, oú l'on voit dix figures d'hommes, de femmes, &c. d'une composition & d'un effet dans le genre d'Adrien Ostade ; il peut être regardé comme une des bonnes productions de ce maître.",,Peinture,"sur bois, Hauteur 14 pouces & demi, largeur 19 pouces",,"Boyer de Fonscolombe, Jean-Baptiste-Laurent; from catalog: M. Boyer-De-Fons-Colombe","Vendu, 48 livres","Lebrun, Jean-Baptiste-Pierre; from catalog: Lebrun lé",,,,,,,1790 Jan 18 and following days (This Lot: Jan 18),"Lebrun, Jean Baptiste Pierre",,,"Paris, France",4511,,1790,14,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-A978,267,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un intérieur de chambre, composition de deux figures, dont un homme devant une cheminée, & une femme; plusieurs accessoires enrichissent ce tableau.",,Peinture,"sur bois, Hauteur 16 pouces, largeur 12 pouces",,Marin; from catalog: feu M. Marin,"Vendu, 36 livres",Boileau; from catalog: Boilleau,,,,,,,1790 Mar 22 and following days (This Lot: Mar 22),"Lebrun, Joseph Alexandre<br>Saubert, Louis François","Serreau, Marie Gabriel",,"Paris, France",4552,,1790,15,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-A984,44,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Deux tableaux représentant des villageois, s'occupant dans l'un du jeu de la main chaude, & dans l'autre de celui de la favatte.",,Peinture,"sur bois, Haut. 15 pouc. largeur 21 pouc.",,,"Vendu, 80 19 livres",Caillard; from catalog: Cailar,,,,,,,1790 May 03 and following days (This Lot: May  3),"Lebrun, Jean Baptiste Pierre",,,"Paris, France",4583,,1790,16,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-A991,44,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un des plus fins Tableaux de ce maître, d'une riche composition, représentant un festin de noces : les personnages offrent des caractères remplis d'expression et de gaîté ; tout y est rendu avec beaucoup de vérité.",,Peinture,"sur bois, hauteur 15 pouces, largeur 22 pouces",,,"Vendu, 400 livres","Lebrun, Joseph-Alexandre; from catalog: moi [Lebrun je]",,,,,,,1790 Dec 13 and following days (This Lot: Dec 13),"Lebrun, Joseph Alexandre",Le Jeune,,"Paris, France",4641,,1790,17,"48.8566101, 2.3514992",,48.8566101, 2.3514992
D-A206,3,"MOLENAER, KLAES (Dutch)",,,,,"Ein Bauer sitzt vergnügt bey einem Tisch mit einem Römer Wein in der Hand, hinter ihm steht ein andrer Bauer, und zündet seine Pfeife an. Halbe Figuren, kräftig gemalt auf Holz, goldener Rahm.",,Gemälde,"auf Holz, 10 Zoll hoch, und 8 1/2 Zoll breit",,,"Verkauft, 7.6 M",Boemer; from catalog: Boemer,Der Künstler ist vermutlich Jan Miense Molenaer und nicht Klaes Molenaer.,,,,,,1790 Aug 20 - 1790 Aug 21 (This Lot: Aug 20),,,Goverts (Hermann Friderich),"Hamburg, Germany",,,1790,18,"53.550341, 10.000654",,53.550341, 10.000654
D-A207,409,"MOLENAER, JAN MIENSE (Dutch)",,,,,Ein Doctor und Barbier nebst vielen Figuren.,,Gemälde,"hoch 28 Zoll, breit 35 Zoll",,"Kaller, Johann Christian und Michael, Friedrich Christian; Michael, Friedrich Christian und Kaller, Johann Christian; from catalog: Kaller [und] Michael","Verkauft, 7.30 fl","Hüsgen, Heinrich Sebastian; from catalog: Hüsgen",,,,,,,1790 Aug 25,,,Anonymous,"Frankfurt, Germany",4622,,1790,19,"50.1106444, 8.6820917",,50.1106444, 8.6820917
D-A196,1565,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Zwey niederländische Schmiedstücke, auf Holz. (Diese Nr.: Ein niederländisches Schmiedstück)",,Gemälde,"auf Holz, Höhe 10 Zoll, Breite 8 Zoll",,"Obermayr, Joseph Eucharius, Freiherr von; from catalog: Freyherr von Obermaier",Unbekannt,,Die Lose 1565 und 1566 wurden zusammen katalogisiert.,,,,,,1790 Jan 07 and following days (This Lot: Jan  7),,,Anonymous,"Munich [or Amberg?], Germany",4504b,,1790,20,"48.1371079, 11.5753822",,48.1371079, 11.5753822
D-A196,1566,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Zwey niederländische Schmiedstücke, auf Holz. (Diese Nr.: Ein niederländisches Schmiedstück)",,Gemälde,"auf Holz, Höhe 10 Zoll, Breite 8 Zoll",,"Obermayr, Joseph Eucharius, Freiherr von; from catalog: Freyherr von Obermaier",Unbekannt,,Die Lose 1565 und 1566 wurden zusammen katalogisiert.,,,,,,1790 Jan 07 and following days (This Lot: Jan  7),,,Anonymous,"Munich [or Amberg?], Germany",4504b,,1790,21,"48.1371079, 11.5753822",,48.1371079, 11.5753822
B-A321,37,"MOLENAER, JAN MIENSE (Dutch)",,,,,Un Tableau representant une Tabagie.,,Painting,"on panel, 1 x 0.79",,from catalog: Antoine de Walsche,"Sold, 23.5",Lauriolle,,,,,,,1791 Jun 14,,,Krafft (J.),"Brussels, Belgium",4755,,1791,1,"50.8465573, 4.351697",,50.8465573, 4.351697
B-A325,107,"MOLENAER, JAN MIENSE (Dutch)",,,,,Une conversation paysanne dans l'interieur d'une maison; peint fort transparant.,,Painting,"circular on panel, 0.540.54",,from catalog: F.A.E. Bruynincx,"Sold, 7.25",Mertens,,,,,,,1791 Aug 01 - 1791 Aug  2 (This Lot: Aug  1),,,Anonymous,"Antwerp, Belgium",4777,,1791,2,"51.2211097, 4.3997081",,51.2211097, 4.3997081
B-A329,108,"MOLENAER, JAN MIENSE (Dutch)",,,,,"De Boeren Binnen-Huys, ryk van Ordonnantie; op den Voor-grond ziet men eene Conversatie van vier Figuren; voorts dry Boeren zitten by het vier, en twee spelende Kinderen.  Dit Stuksken is wonder schoon en uytvoerig geschildert, in eenen beminnelyken trant, zoo als Miere, door M. Molenaer",,Painting,"on panel, h. 12, b. 16",,from catalog: Différentes successions,Unknown,,,,,,,,1791 Oct 11,,,Bauwens (Bernardus),"Brugge, Belgium",4794,,1791,3,"51.2085526, 3.226772",,51.2085526, 3.226772
Br-A1806,72,"MOLENAER, JAN MIENSE (Dutch)",,,,,A conversation,,Painting,,,"Poggi, Antonio; from catalog: Poggi","Sold, 1.2 pounds",Hurst; from catalog: Hurst,,,,,,,1791 Apr 01 - 1791 Apr  2 (This Lot: Apr  2),,,Christie's,"London, England",4701,,1791,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1810,31,"MOLENAER, JAN MIENSE (Dutch)",,,,,Two conversations,,Painting,,,,Unknown,,,,,,,,1791 Apr 15 - 1791 Apr 16 (This Lot: Apr 15),,,Greenwood,"London, England",4709,,1791,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
F-A1009,79,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un tableau agréable de composition, représentant une fête flamande ; on remarque sur le devant une danse de deux figures, et d'autres autour d'une table, occupées à boire et à jouer du violon.",,Peinture,"sur bois, Hauteur, 26 pouces ;  largeur, 32 pouces",,Du Charteaux [ou autres]; from catalog: du Charteaux [ou autres],"Vendu, 129 1 livres",Caillard; from catalog: Caillat,,,,,,,1791 May 02 and following days (This Lot: May  2),"Remy, Pierre<br>Lebrun, Joseph Alexandre",,,"Paris, France",4722,,1791,6,"48.8566101, 2.3514992",,48.8566101, 2.3514992
D-A214,101,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Lustig zechende und singende Landleute, beyderley Geschlechts. Zwey schöne Gemählde, auf Holz. (Diese Nr.: Lustig zechende und singende Landleute, beyderley Geschlechts)",,Gemälde,"auf Holz, Hoch 15 Zoll, breit 11 Zoll",,,Unbekannt,,Die Lose 101 und 102 wurden zusammen katalogisiert.,,,,,,1791 May 28,,,Schmidt (Gerhard Joachim),"Hamburg, Germany",,,1791,7,"53.550341, 10.000654",,53.550341, 10.000654
D-A214,102,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Lustig zechende und singende Landleute, beyderley Geschlechts. Zwey schöne Gemählde, auf Holz. (Diese Nr.: Lustig zechende und singende Landleute, beyderley Geschlechts)",,Gemälde,"auf Holz, Hoch 15 Zoll, breit 11 Zoll",,,Unbekannt,,Die Lose 101 und 102 wurden zusammen katalogisiert.,,,,,,1791 May 28,,,Schmidt (Gerhard Joachim),"Hamburg, Germany",,,1791,8,"53.550341, 10.000654",,53.550341, 10.000654
SC-55,24,"MOLENAER, JAN MIENSE (Dutch)",,,,,Deux Piéces de Conversation par Molenaer. (THIS LOT:  Une Pièce de Conversation),,Painting,"Sur Bois, larges 4 Pouces hautes 4 Pouces",,,"Sold, 1 Danish rigsdaler for lots 24 and 25",Test... [?]; from catalog: Test...[?],Lots 24 and 25 were printed together as one item.,,,,,,1791 Feb 20,,,Anonymous,"Copenhagen, Denmark",4675,,1791,9,"55.6867243, 12.5700724",,55.6867243, 12.5700724
SC-55,25,"MOLENAER, JAN MIENSE (Dutch)",,,,,Deux Piéces de Conversation par Molenaer. (THIS LOT:  Une Pièce de Conversation),,Painting,"Sur Bois, larges 4 Pouces hautes 4 Pouces",,,"Sold, 1 Danish rigsdaler for lots 24 and 25",Test... [?]; from catalog: Test...[?],Lots 24 and 25 were printed together as one item.,,,,,,1791 Feb 20,,,Anonymous,"Copenhagen, Denmark",4675,,1791,10,"55.6867243, 12.5700724",,55.6867243, 12.5700724
B-A334,241,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Ce Morceau représente l'Intérieur d'une Maison; on y voit une conversation de quatre personnes; trois paysans sont assis près du feu, & deux enfants s'y amusent à jouer.  Bon Tableau agréable & plaisant",,Painting,"on panel, h. 12 p., l. 16 p.",,"from catalog: Joseph Verplancke, négociant",Unknown,,,,,,,,1792 Jun 20 - 1792 Jun 21 (This Lot: Jun 20),,,Bauwens (Bernardus),"Brugge, Belgium",4934,,1792,1,"51.2085526, 3.226772",,51.2085526, 3.226772
Br-A1896,161,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch merrymaking,,Painting,,,,Unknown,,,,,,,,"1792 Apr, dates unknown (This Lot: Apr  0)",,,European Museum,"London, England",,,1792,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1928,0062[a],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Three of boors playing at cards, ditto drinking, &c. (THIS LOT:  Boors playing at cards, &c.; lot 62[b] by Brouwer)",,Painting,,,"Booth, Charles Everard, Rev.; from catalog: Rev Mr Booth (CL)","Sold, 2.10 pounds for lots 62[a] & 62[b] (CL)",Seguier; from catalog: Seguire (CL),,,,,,,1792 Nov 27,,,Christie's,"London, England",4964,,1792,3,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1928,0010[a],"MOLENAER, JAN MIENSE (Dutch)",,,,,"A small deception of pictures, one by Ostade, and a Gentleman's portrait by C. Janssens (THIS LOT:  A deception of pictures; lot 10[b] by Ostade; lot 10[c] by C. Johnson (I))",,Painting,,,"Booth, Charles Everard, Rev.; from catalog: Rev Mr Booth (CL)","Sold, 2.15 pounds for lots 10[a], 10[b] & 10[c] (CL)",Seguier; from catalog: Seguire (CL),,,,,,,1792 Nov 27,,,Christie's,"London, England",4964,,1792,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1893,32,"MOLENAER, JAN MIENSE (Dutch)",,,,,The inside of a Dutch cabaret,,Painting,,,[Illegible]; from catalog: [Illegible] (CL),"Sold, 5.5 pounds (CL)",Plimmer; from catalog: Plimmer (CL),,,,,,,1792 Mar 30,,,Christie's,"London, England",4889,,1792,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1901,20,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dutch cabaret with card players,,Painting,,,"Bernard, Thomas, Sir, 3rd Bart.; from catalog: Bernard (CL)","Unknown, 3.18 pounds (CL)",,,,,,,,1792 Apr 20 - 1792 Apr 21 (This Lot: Apr 21),,,Christie's,"London, England",4904,,1792,6,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1870,34,"MOLENAER, JAN MIENSE (Dutch)",,,,,Inflicting penance for eating meat in Lent,,Painting,,,"Trevanion, John; from catalog: Trevanion (CL)","Sold, 3.13 pounds (CL)",Skirrow; from catalog: Skw (CL),,,,,,,1792 Feb 03 - 1792 Feb  4 (This Lot: Feb  3),,,Christie's,"London, England",4846 and 4864,,1792,7,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1895,41,"MOLENAER, JAN MIENSE (Dutch)",,,,,A concert of music,,Painting,,,Barnard; from catalog: Barnard (CL),"Bought In, 3.13 pounds (CL)",,,,,,,,1792 Mar 31,,,Christie's,"London, England",4891,,1792,8,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1870,32,"MOLENAER, JAN MIENSE (Dutch)",,,,,"A Dutch villiage feast, with the farmers singing and regaling, fine",,Painting,,,Douglas; from catalog: Douglas (CL),"Sold, 5.5 pounds (CL)",Nicholson; from catalog: Nicholson (CL),,,,,,,1792 Feb 03 - 1792 Feb  4 (This Lot: Feb  4),,,Christie's,"London, England",4846 and 4864,,1792,9,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A1903,68,"MOLENAER, JAN MIENSE (Dutch)",,,,,Boors singing,,Painting,,,from catalog: Liet. Col. Bonham (FMC),Unknown,,,,,,,,1792 Apr 24,,,Greenwood,"London, England",,,1792,10,"51.5073219, -0.1276474",,51.5073219, -0.1276474
F-A1020,55,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un intérieur de chambre ornée d'un grand nombre de figures, dont plusieurs occupées à jouer à la main chaude.",,Peinture,"sur toile, Hauteup [sic] 23 pouces, largeur 32 pouces",,"Goman, Mme.; from catalog: Madame Goman","Vendu, 81 1 livres",Gay; from catalog: Gay,,,,,,,1792 Feb 06 and following days (This Lot: Feb  6),"Lebrun, Joseph Alexandre<br>Julliot, Philippe François",Le Jeune,,"Paris, France",4847,,1792,11,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-A1028,120,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un tableau de Molenaer, représentant un paysage, avec figures occupées à boire.",,Peinture,"sur bois, Haut. 14 pouces ; larg. 18 pouces",,Duclos Le Jeune; from catalog: Duclos le jeune,"Inconnue, 60 1 livres",,,,,,,,1792 Apr 02 and following days (This Lot: Apr  2),"Lebrun, Joseph Alexandre",Le Jeune,,"Paris, France",4894,,1792,12,"48.8566101, 2.3514992",,48.8566101, 2.3514992
